matchup,baseline_type,game_number,llm_side,winner,llm_won,baseline_won,draw,illegal_move,fallback_uses_this_game,llm_moves_this_game,llm_total_latency_seconds,llm_avg_latency_seconds
LLM vs Random,Random,1,X,X,True,False,False,False,0,5,4.4611,0.8922
LLM vs Random,Random,2,X,X,True,False,False,False,0,4,2.7293,0.6823
LLM vs Random,Random,3,X,O,False,True,False,False,0,9,6.6711,0.7412
LLM vs Random,Random,4,X,X,True,False,False,False,0,5,3.7913,0.7583
LLM vs Random,Random,5,X,X,True,False,False,False,0,4,3.23,0.8075
LLM vs Random,Random,6,X,X,True,False,False,False,0,5,2.8401,0.568
LLM vs Random,Random,7,X,X,True,False,False,False,0,5,2.5419,0.5084
LLM vs Random,Random,8,X,X,True,False,False,False,0,9,5.9681,0.6631
LLM vs Random,Random,9,X,X,True,False,False,False,0,4,2.3229,0.5807
LLM vs Random,Random,10,X,O,False,True,False,False,0,12,7.9538,0.6628
LLM vs Random,Random,11,X,X,True,False,False,False,0,4,2.292,0.573
LLM vs Random,Random,12,X,X,True,False,False,False,0,4,3.2367,0.8092
LLM vs Random,Random,13,X,X,True,False,False,False,0,4,1.9806,0.4951
LLM vs Random,Random,14,X,X,True,False,False,False,0,4,2.1624,0.5406
LLM vs Random,Random,15,X,X,True,False,False,False,0,4,1.6688,0.4172
LLM vs Random,Random,16,X,X,True,False,False,False,0,10,5.1628,0.5163
LLM vs Random,Random,17,X,X,True,False,False,False,0,4,2.4885,0.6221
LLM vs Random,Random,18,X,X,True,False,False,False,0,10,5.4253,0.5425
LLM vs Random,Random,19,X,X,True,False,False,False,0,6,3.6871,0.6145
LLM vs Random,Random,20,X,X,True,False,False,False,0,10,6.6705,0.6671
LLM vs Random,Random,21,X,X,True,False,False,False,0,4,2.4852,0.6213
LLM vs Random,Random,22,X,O,False,True,False,False,0,9,5.5651,0.6183
LLM vs Random,Random,23,X,X,True,False,False,False,0,10,6.3367,0.6337
LLM vs Random,Random,24,X,O,False,True,False,False,0,8,5.6665,0.7083
LLM vs Random,Random,25,X,X,True,False,False,False,0,8,4.5148,0.5644
LLM vs Random,Random,26,X,X,True,False,False,False,0,4,2.65,0.6625
LLM vs Random,Random,27,X,X,True,False,False,False,0,4,2.2954,0.5738
LLM vs Random,Random,28,X,X,True,False,False,False,0,4,2.1552,0.5388
LLM vs Random,Random,29,X,X,True,False,False,False,0,4,2.4351,0.6088
LLM vs Random,Random,30,X,X,True,False,False,False,0,4,2.5715,0.6429
LLM vs Random,Random,31,X,X,True,False,False,False,0,4,2.291,0.5727
LLM vs Random,Random,32,X,X,True,False,False,False,0,6,3.4319,0.572
LLM vs Random,Random,33,X,X,True,False,False,False,0,4,2.225,0.5562
LLM vs Random,Random,34,X,X,True,False,False,False,0,4,1.8627,0.4657
LLM vs Random,Random,35,X,X,True,False,False,False,0,5,3.303,0.6606
LLM vs Random,Random,36,X,X,True,False,False,False,0,5,2.6542,0.5308
LLM vs Random,Random,37,X,X,True,False,False,False,0,4,2.7147,0.6787
LLM vs Random,Random,38,X,X,True,False,False,False,0,5,3.0998,0.62
LLM vs Random,Random,39,X,X,True,False,False,False,0,9,5.1139,0.5682
LLM vs Random,Random,40,X,X,True,False,False,False,0,4,2.6132,0.6533
LLM vs Random,Random,41,X,X,True,False,False,False,0,6,3.7056,0.6176
LLM vs Random,Random,42,X,X,True,False,False,False,0,4,2.2532,0.5633
LLM vs Random,Random,43,X,X,True,False,False,False,0,5,2.6752,0.535
LLM vs Random,Random,44,X,X,True,False,False,False,0,5,3.2901,0.658
LLM vs Random,Random,45,X,X,True,False,False,False,0,4,2.4825,0.6206
LLM vs Random,Random,46,X,X,True,False,False,False,0,11,6.0214,0.5474
LLM vs Random,Random,47,X,X,True,False,False,False,0,4,1.7736,0.4434
LLM vs Random,Random,48,X,X,True,False,False,False,0,4,2.6202,0.655
LLM vs Random,Random,49,X,X,True,False,False,False,0,4,2.3256,0.5814
LLM vs Random,Random,50,X,X,True,False,False,False,0,4,2.5864,0.6466
LLM vs Random,Random,51,X,X,True,False,False,False,0,4,2.5542,0.6385
LLM vs Random,Random,52,X,X,True,False,False,False,0,4,2.1927,0.5482
LLM vs Random,Random,53,X,X,True,False,False,False,0,4,2.3452,0.5863
LLM vs Random,Random,54,X,X,True,False,False,False,0,4,1.9197,0.4799
LLM vs Random,Random,55,X,X,True,False,False,False,0,5,2.3407,0.4681
LLM vs Random,Random,56,X,X,True,False,False,False,0,4,2.4072,0.6018
LLM vs Random,Random,57,X,X,True,False,False,False,0,4,2.3402,0.585
LLM vs Random,Random,58,X,X,True,False,False,False,0,4,1.8959,0.474
LLM vs Random,Random,59,X,X,True,False,False,False,0,4,2.318,0.5795
LLM vs Random,Random,60,X,X,True,False,False,False,0,9,5.837,0.6486
LLM vs Random,Random,61,X,O,False,True,False,False,0,7,3.4887,0.4984
LLM vs Random,Random,62,X,X,True,False,False,False,0,4,2.1147,0.5287
LLM vs Random,Random,63,X,X,True,False,False,False,0,4,2.4466,0.6117
LLM vs Random,Random,64,X,X,True,False,False,False,0,9,5.6095,0.6233
LLM vs Random,Random,65,X,X,True,False,False,False,0,10,5.3933,0.5393
LLM vs Random,Random,66,X,X,True,False,False,False,0,5,2.4753,0.4951
LLM vs Random,Random,67,X,X,True,False,False,False,0,4,2.5132,0.6283
LLM vs Random,Random,68,X,X,True,False,False,False,0,4,2.0299,0.5075
LLM vs Random,Random,69,X,X,True,False,False,False,0,4,2.5351,0.6338
LLM vs Random,Random,70,X,X,True,False,False,False,0,5,3.2327,0.6465
LLM vs Random,Random,71,X,O,False,True,False,False,0,9,5.2677,0.5853
LLM vs Random,Random,72,X,X,True,False,False,False,0,4,2.1889,0.5472
LLM vs Random,Random,73,X,X,True,False,False,False,0,4,2.4572,0.6143
LLM vs Random,Random,74,X,X,True,False,False,False,0,4,3.129,0.7823
LLM vs Random,Random,75,X,X,True,False,False,False,0,4,2.4218,0.6055
LLM vs Random,Random,76,X,X,True,False,False,False,0,4,1.861,0.4652
LLM vs Random,Random,77,X,X,True,False,False,False,0,7,4.3084,0.6155
LLM vs Random,Random,78,X,X,True,False,False,False,0,4,2.5732,0.6433
LLM vs Random,Random,79,X,X,True,False,False,False,0,8,5.0541,0.6318
LLM vs Random,Random,80,X,X,True,False,False,False,0,4,1.513,0.3782
LLM vs Random,Random,81,X,X,True,False,False,False,0,4,2.2216,0.5554
LLM vs Random,Random,82,X,X,True,False,False,False,0,4,2.5737,0.6434
LLM vs Random,Random,83,X,X,True,False,False,False,0,4,1.7794,0.4449
LLM vs Random,Random,84,X,X,True,False,False,False,0,5,3.2416,0.6483
LLM vs Random,Random,85,X,X,True,False,False,False,0,10,5.3131,0.5313
LLM vs Random,Random,86,X,X,True,False,False,False,0,5,3.9918,0.7984
LLM vs Random,Random,87,X,X,True,False,False,False,0,4,1.7985,0.4496
LLM vs Random,Random,88,X,X,True,False,False,False,0,4,2.1562,0.539
LLM vs Random,Random,89,X,X,True,False,False,False,0,4,2.7522,0.688
LLM vs Random,Random,90,X,X,True,False,False,False,0,4,2.4889,0.6222
LLM vs Random,Random,91,X,X,True,False,False,False,0,11,4.97,0.4518
LLM vs Random,Random,92,X,X,True,False,False,False,0,4,2.613,0.6532
LLM vs Random,Random,93,X,X,True,False,False,False,0,4,2.1737,0.5434
LLM vs Random,Random,94,X,X,True,False,False,False,0,6,3.6489,0.6081
LLM vs Random,Random,95,X,X,True,False,False,False,0,4,2.3924,0.5981
LLM vs Random,Random,96,X,X,True,False,False,False,0,5,2.6877,0.5375
LLM vs Random,Random,97,X,X,True,False,False,False,0,10,5.7534,0.5753
LLM vs Random,Random,98,X,X,True,False,False,False,0,9,4.5306,0.5034
LLM vs Random,Random,99,X,X,True,False,False,False,0,6,2.9361,0.4893
LLM vs Random,Random,100,X,X,True,False,False,False,0,4,2.1997,0.5499
LLM vs Random,Random,1,O,X,False,True,False,False,0,5,2.5754,0.5151
LLM vs Random,Random,2,O,X,False,True,False,False,0,8,4.5431,0.5679
LLM vs Random,Random,3,O,O,True,False,False,False,0,7,4.5855,0.6551
LLM vs Random,Random,4,O,O,True,False,False,False,0,8,9.328,1.166
LLM vs Random,Random,5,O,X,False,True,False,False,0,7,4.4743,0.6392
LLM vs Random,Random,6,O,O,True,False,False,False,0,11,6.5592,0.5963
LLM vs Random,Random,7,O,X,False,True,False,False,0,9,5.5718,0.6191
LLM vs Random,Random,8,O,X,False,True,False,False,0,6,4.3554,0.7259
LLM vs Random,Random,9,O,O,True,False,False,False,0,6,4.0458,0.6743
LLM vs Random,Random,10,O,O,True,False,False,False,0,4,2.9132,0.7283
LLM vs Random,Random,11,O,O,True,False,False,False,0,5,2.7615,0.5523
LLM vs Random,Random,12,O,X,False,True,False,False,0,15,9.0405,0.6027
LLM vs Random,Random,13,O,X,False,True,False,False,0,3,1.1266,0.3755
LLM vs Random,Random,14,O,O,True,False,False,False,0,5,2.7777,0.5555
LLM vs Random,Random,15,O,O,True,False,False,False,0,4,3.575,0.8938
LLM vs Random,Random,16,O,O,True,False,False,False,0,5,2.2719,0.4544
LLM vs Random,Random,17,O,X,False,True,False,False,0,12,7.1028,0.5919
LLM vs Random,Random,18,O,X,False,True,False,False,0,10,5.4273,0.5427
LLM vs Random,Random,19,O,X,False,True,False,False,0,7,3.9631,0.5662
LLM vs Random,Random,20,O,O,True,False,False,False,0,7,3.9509,0.5644
LLM vs Random,Random,21,O,X,False,True,False,False,0,5,2.4087,0.4817
LLM vs Random,Random,22,O,X,False,True,False,False,0,5,3.5183,0.7037
LLM vs Random,Random,23,O,O,True,False,False,False,0,7,4.7979,0.6854
LLM vs Random,Random,24,O,X,False,True,False,False,0,5,2.6081,0.5216
LLM vs Random,Random,25,O,O,True,False,False,False,0,4,2.4081,0.602
LLM vs Random,Random,26,O,O,True,False,False,False,0,6,3.4154,0.5692
LLM vs Random,Random,27,O,O,True,False,False,False,0,5,2.559,0.5118
LLM vs Random,Random,28,O,X,False,True,False,False,0,14,9.4635,0.676
LLM vs Random,Random,29,O,X,False,True,False,False,0,9,4.4538,0.4949
LLM vs Random,Random,30,O,O,True,False,False,False,0,4,1.8898,0.4724
LLM vs Random,Random,31,O,O,True,False,False,False,0,7,4.2829,0.6118
LLM vs Random,Random,32,O,X,False,True,False,False,0,9,5.8693,0.6521
LLM vs Random,Random,33,O,O,True,False,False,False,0,5,2.5096,0.5019
LLM vs Random,Random,34,O,X,False,True,False,False,0,10,5.4063,0.5406
LLM vs Random,Random,35,O,X,False,True,False,False,0,8,4.1227,0.5153
LLM vs Random,Random,36,O,O,True,False,False,False,0,4,1.4666,0.3667
LLM vs Random,Random,37,O,O,True,False,False,False,0,4,2.1243,0.5311
LLM vs Random,Random,38,O,X,False,True,False,False,0,4,1.82,0.455
LLM vs Random,Random,39,O,X,False,True,False,False,0,8,5.6278,0.7035
LLM vs Random,Random,40,O,X,False,True,False,False,0,9,5.0486,0.561
LLM vs Random,Random,41,O,O,True,False,False,False,0,7,3.7501,0.5357
LLM vs Random,Random,42,O,O,True,False,False,False,0,4,3.1484,0.7871
LLM vs Random,Random,43,O,O,True,False,False,False,0,7,5.0094,0.7156
LLM vs Random,Random,44,O,O,True,False,False,False,0,5,3.1984,0.6397
LLM vs Random,Random,45,O,O,True,False,False,False,0,4,1.9945,0.4986
LLM vs Random,Random,46,O,O,True,False,False,False,0,10,7.0211,0.7021
LLM vs Random,Random,47,O,O,True,False,False,False,0,6,3.1931,0.5322
LLM vs Random,Random,48,O,O,True,False,False,False,0,4,2.1352,0.5338
LLM vs Random,Random,49,O,O,True,False,False,False,0,6,3.4643,0.5774
LLM vs Random,Random,50,O,O,True,False,False,False,0,6,3.0699,0.5117
LLM vs Random,Random,51,O,O,True,False,False,False,0,4,2.1911,0.5478
LLM vs Random,Random,52,O,O,True,False,False,False,0,4,1.5846,0.3962
LLM vs Random,Random,53,O,X,False,True,False,False,0,3,1.4484,0.4828
LLM vs Random,Random,54,O,X,False,True,False,False,0,5,2.5119,0.5024
LLM vs Random,Random,55,O,X,False,True,False,False,0,9,5.1251,0.5695
LLM vs Random,Random,56,O,O,True,False,False,False,0,5,2.4925,0.4985
LLM vs Random,Random,57,O,O,True,False,False,False,0,10,6.1035,0.6104
LLM vs Random,Random,58,O,O,True,False,False,False,0,5,2.9352,0.587
LLM vs Random,Random,59,O,O,True,False,False,False,0,4,2.6119,0.653
LLM vs Random,Random,60,O,O,True,False,False,False,0,4,2.7339,0.6835
LLM vs Random,Random,61,O,X,False,True,False,False,0,9,5.2512,0.5835
LLM vs Random,Random,62,O,O,True,False,False,False,0,10,5.6321,0.5632
LLM vs Random,Random,63,O,O,True,False,False,False,0,7,4.3217,0.6174
LLM vs Random,Random,64,O,O,True,False,False,False,0,10,6.2008,0.6201
LLM vs Random,Random,65,O,X,False,True,False,False,0,8,4.408,0.551
LLM vs Random,Random,66,O,X,False,True,False,False,0,13,8.7247,0.6711
LLM vs Random,Random,67,O,X,False,True,False,False,0,12,7.189,0.5991
LLM vs Random,Random,68,O,O,True,False,False,False,0,9,5.5172,0.613
LLM vs Random,Random,69,O,O,True,False,False,False,0,5,1.9362,0.3872
LLM vs Random,Random,70,O,O,True,False,False,False,0,4,2.4391,0.6098
LLM vs Random,Random,71,O,O,True,False,False,False,0,4,1.8853,0.4713
LLM vs Random,Random,72,O,X,False,True,False,False,0,4,2.465,0.6162
LLM vs Random,Random,73,O,O,True,False,False,False,0,4,1.9754,0.4939
LLM vs Random,Random,74,O,X,False,True,False,False,0,5,2.4351,0.487
LLM vs Random,Random,75,O,O,True,False,False,False,0,7,3.6832,0.5262
LLM vs Random,Random,76,O,O,True,False,False,False,0,4,2.1562,0.539
LLM vs Random,Random,77,O,O,True,False,False,False,0,5,2.5708,0.5142
LLM vs Random,Random,78,O,O,True,False,False,False,0,5,2.0613,0.4123
LLM vs Random,Random,79,O,X,False,True,False,False,0,7,3.356,0.4794
